Type	Task Name Original	Task Name	Status Migração	Data	obs
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_bkp02032023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_bkp02032023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_bkp´180522)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_TST_bkp´180522	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_ECOM_PRODUCT_VTEX)	OW_LAO.VIEW_ECOM_PRODUCT_VTEX	To be migrated		CALCULATION VIEW - ERROR: Schema "_SYS_BIC" does not exist
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_REFERENCE)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_REFERENCE	To be migrated		CALCULATION VIEW - ERROR: Schema "_SYS_BIC" does not exist
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_ORDERS_B5Q5)	U_PRJ_ECOM.VIEW_ECOM_ORDERS_B5Q5	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_FEED_HIST_HQ)	U_PRJ_ECOM.VIEW_ECOM_FEED_HIST_HQ	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP06062024)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP06062024	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_ORDERS_GOVERNANCE_LAO)	OW_LAO.VIEW_ORDERS_GOVERNANCE_LAO	Done		
VIEW	(VIEW - OW_LAO.VIEW_GOVERNANCE_ORDERS_LAO)	OW_LAO.VIEW_GOVERNANCE_ORDERS_LAO	Done		
VIEW	(VIEW - OW_LAO.VIEW_GOVERNANCE_ORDERS_LAO_RECORD_HOURS)	OW_LAO.VIEW_GOVERNANCE_ORDERS_LAO_RECORD_HOURS	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_GOVERNANCE_SUBSIDIARY_HOUR)	OW_LAO.VIEW_GOVERNANCE_SUBSIDIARY_HOUR	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_GOVERNANCE_ORDERS_LAO_NEW)	OW_LAO.VIEW_GOVERNANCE_ORDERS_LAO_NEW	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_ECOM_SKUS_ELIGIBLE_VTEX)	OW_LAO.VIEW_ECOM_SKUS_ELIGIBLE_VTEX	To be migrated		
VIEW	(VIEW - OW_LAO.VW_ECOM_SKUS_VTEX)	OW_LAO.VW_ECOM_SKUS_VTEX	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_AJ_DISCOUNT)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_AJ_DISCOUNT	To be migrated		
